"id","title","description","sort_order","img","created_at"
"6"," Company Milestone ","Trade Schemes
","4","5.png","2025-05-23 09:44:14"
"7","Trade Scheme ","Rewards
","5","4.png","2025-05-23 09:45:05"
"8","Premium Diwali Gifts ","Diwali 
","6","6.png","2025-05-23 09:45:51"
"3","New Year & Christmas ","New Year 
","0","33ff22418009c5bba3220079e2bc7f3e.jpg","2025-05-23 09:39:40"
"4","Reward & Recognition",,"3","22143b5ef85c574aa375798c612b1f79.jpg","2025-05-23 09:40:34"
"5","Employee Onboarding ","Employee Joining 
","2","778cb20dfd61fd42d8a808637277f7a3.jpg","2025-05-23 09:41:55"
"9","Events & Conferences","Meeting Gifts
","7","7.png","2025-05-23 09:47:27"
"10","Product Launch ","Company Milestone
","8","8.png","2025-05-23 09:48:46"
"11","Birthday & Anniversary ","Premium Gifts","9","9.png","2025-05-23 09:49:21"
"12","Bulk iPhone Deals ","Bulk iPhone  ","10","dde3e051a14eff44d1b42f5bbcfe39be.jpg","2025-05-26 10:10:49"
